Journal,IF (JCR year 2024),IF (5 yr),H5-index,Publisher,Publishing Model,Subject Area (tags),Aims & Scope,Content Tags,
Policy Studies Journal,4.9,5.6,44,Wiley-Blackwell,Hybrid,"policy, pa-policy",,,
"Policy, Politics, & Nursing Practice",2.6,,19,Sage,Hybrid,"public health, health policy, pa-policy",https://journals.sagepub.com/overview-metric/PPN?,,
Population and Environment,2.5,4.1,29,Springer,Hybrid,environment,https://link.springer.com/journal/11111/aims-and-scope,,
Population Health Management,2.1,2.6,29,Mary Ann Liebert,Hybrid,public health,https://home.liebertpub.com/publications/population-health-management/301/overview,"care coordination, health care reform, health economics",
Pracademic Affairs,,,,NPS Center for Homeland Defense and Security,Online,"policy, pa-policy",,,
Prehospital and Disaster Medicine,2.5,2.6,33,Cambridge University Press,Hybrid,"disaster medicine, emergency management",https://www.cambridge.org/core/journals/prehospital-and-disaster-medicine/information/about-this-journal,,
Prehospital Emergency Care,2,2.3,37,Taylor & Francis,Hybrid,emergency medicine,https://www.tandfonline.com/journals/ipec20/about-this-journal,,
Preventing Chronic Disease,3.9,4.6,50,CDC,Open access,public health,,,
"Progress in Community Health Partnerships: Research, Education, and Action",0.6,1.3,14,Johns Hopkins University Press,Hybrid,community health,https://www.press.jhu.edu/journals/progress-community-health-partnerships-research-education-and-action,,
Progress in Disaster Science,3.8,4.6,46,Elsevier,Open access,emergency management,https://www.sciencedirect.com/journal/progress-in-disaster-science/about/aims-and-scope,,
"Psychological Trauma: Theory, Research, Practice, and Policy",2.3,3.5,80,APA,Hybrid,mental health,https://www.apa.org/pubs/journals/tra,trauma,
Public Administration Quarterly,,,14,Sage,Hybrid,"public administration, pa-policy",,,
Public Administration,5.1,5.5,51,Wiley,Hybrid,"public administration, pa-policy",,,
Public Administration and Policy,0.8,1.3,20,Emerald,Open access,"public administration, policy, pa-policy",,,
Public Administration Review (PAR),4.9,7.3,81,Wiley-Blackwell,Hybrid,"public administration, pa-policy",,,
Public Health Ethics,2,2,20,Oxford University Press,Hybrid,public health,https://academic.oup.com/phe/pages/About,,
Public Health Nursing,1.3,1.9,37,Wiley,Hybrid,public health,https://onlinelibrary.wiley.com/page/journal/15251446/homepage/productinformation.html,,
Public Health Reports,2.5,3.1,40,Sage,Hybrid,public health,https://journals.sagepub.com/overview-metric/PHR?,,
Public Health Research & Practice,3.4,3.1,23,CSIRO,Open access,public health,https://www.publish.csiro.au/pu/forauthors/Scope,,
Public Performance & Management Review,2.8,3.3,37,Taylor & Francis,Hybrid,"public administration, governance, pa-policy",,,
Research in Higher Education,2.3,3.1,41,Springer,Hybrid,higher ed,,,
Review of Educational Research,7.4,15.4,57,Sage,Subscription,higher ed,,,
Review of Higher Education,2.2,3.3,27,Johns Hopkins University Press,Subscription,higher ed,,,
Review of Public Personnel Administration,3.1,4.8,45,Sage,Hybrid,"government, pa-policy",,,
Review of Research in Education,2.4,7.8,,Sage,Subscription,higher ed,,,
Risk Analysis,3.3,4.1,57,Wiley,Hybrid,emergency management,https://onlinelibrary.wiley.com/page/journal/15396924/homepage/productinformation.html,,
Risk Management,1.7,2.2,5,Palgrave (Springer),Hybrid,emergency management,https://www.palgrave.com/gp/journal/41283/authors/aims-scope,,Listed as Risk Management - An International Journal in Clarivate JCR/IF
Risk Management and Healthcare Policy,2,2.7,63,Dove Medical Press,Open access,"Emergency management, public health, health policy, pa-policy",https://www.dovepress.com/aims-and-scope-risk-management-and-healthcare-policy-d48-j56,,
Risk Management and Insurance Review,1.4,1.5,15,Wiley,Hybrid,emergency management,https://onlinelibrary.wiley.com/page/journal/15406296/homepage/productinformation.html,,
Risk Sciences,,,,KeAI Publishing,Open access,emergency management,,,
"Risk, Hazards & Crisis in Public Policy",2,3.2,20,Wiley,Hybrid,"Emergency management, health policy, pa-policy",https://onlinelibrary.wiley.com/page/journal/19444079/homepage/productinformation.html,,
Risks,1.5,1.7,49,MDPI,Open access,emergency management,,,
Science and Public Policy,2.3,2.9,36,Oxford University Press,Hybrid,"policy, pa-policy",,,
Science of Tsunami Hazards,,,,Tsunami Society International (TSI),Open access,"environment, emergency management",,,
Seismica,,,11,McGill,Open access,environment,,,
Social Forces,2.7,4.5,44,Oxford University Press,Hybrid,"social policy, pa-policy",https://academic.oup.com/sf/pages/Instructions_To_Authors#Scope%20of%20the%20journal,,
Social Policy & Administration,2.2,2.9,40,MDPI,Open access,"social policy, pa-policy",,,
State and Local Government Review,,,15,Sage,Hybrid,"government, pa-policy",,,
Stochastic Environmental Research and Risk Assessment,3.6,3.6,52,Springer,Hybrid,environment,https://link.springer.com/journal/477/aims-and-scope,,
Studies in Conflict and Terrorism,1.6,2,38,Taylor & Francis,Hybrid,international,https://www.tandfonline.com/journals/uter20/about-this-journal#aims-and-scope,terrorism,
Studies in Higher Education,3.2,4.7,85,Routledge,Hybrid,higher ed,,,
Terrorism and Political Violence,2.1,2.4,41,Taylor & Francis,Hybrid,international,https://www.tandfonline.com/journals/ftpv20/about-this-journal#aims-and-scope,terrorism,
The Gerontologist,3.2,5.3,71,Oxford University Press,Hybrid,aging,https://academic.oup.com/gerontologist/pages/About,,
The Lancet Global Health,,,129,Elsevier,Open access,"international, vulnerable populations, epidemiology', mental health, health policy, pa-policy",https://www.sciencedirect.com/journal/the-lancet-global-health/about/aims-and-scope,,
Therapeutics and Clinical Risk Management,2.2,2.5,41,Dove Medical Press,Open access,public health,https://www.dovepress.com/aims-and-scope-therapeutics-and-clinical-risk-management-d1-j1,,
Transboundary and Emerging Diseases,3,3.4,65,Wiley,Open access,"epidemiology, international, Emergency management",https://onlinelibrary.wiley.com/page/journal/tbed/homepage/productinformation.html,,
Trauma-England,0.7,0.7,,Sage,Hybrid,emergency medicine,https://journals.sagepub.com/overview-metric/TRA?,trauma,
Traumatology,1.3,,38,American Psychological Association (APA),Subscription,emergency medicine,,,
Tropical Cyclone Research and Review,4.1,4,19,KeAI Publishing,Open access,emergency management,,,
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations,2,2.7,47,Springer,Hybrid,"government, pa-policy",,,
Weather,1.9,2,22,Wiley,Hybrid,environment,https://rmets.onlinelibrary.wiley.com/hub/journal/14778696/aims-and-scope/read-full-aims-and-scope,,
"Weather, Climate, and Society",1.9,2.3,21,AMS,Hybrid,environment,https://www.ametsoc.org/index.cfm/ams/publications/journals/weather-climate-and-society/,,
Western Journal of Emergency Medicine,2,2.6,45,WestJEM,Open access,emergency medicine,https://westjem.com/about-journal,,
WIREs Climate Change,10.3,13.6,70,Wiley,Hybrid,environment,https://wires.onlinelibrary.wiley.com/hub/journal/17577799/about/productinformation,"climate change,",
